"period","practice_code","lsoa","population"
"2021-07-01","All","E01027627",42
"2021-07-01","All","E01027634",2074
"2021-07-01","All","E01027635",30
"2021-07-01","All","E01027636",534
"2021-07-01","All","E01027683",21
"2021-07-01","All","E01027684",309
"2021-07-01","All","E01027696",1892
"2021-07-01","All","E01027774",318
"2021-07-01","All","E01027775",212
"2021-07-01","All","E01027776",1545
"2021-07-01","All","E01027777",1288
"2021-07-01","All","E01027778",530
"2021-07-01","All","E01027780",1937
"2021-07-01","All","E01027781",1208
"2021-07-01","All","E01027782",625
"2021-07-01","All","E01027783",1763
"2021-07-01","All","E01027784",1629
"2021-07-01","All","E01027785",49
"2021-07-01","All","E01027786",29
"2021-07-01","All","E01027792",2236
"2021-07-01","All","E01027793",1522
"2021-07-01","All","E01027794",1989
"2021-07-01","All","E01027795",1641
"2021-07-01","All","E01027797",1440
"2021-07-01","All","E01027799",1721
"2021-07-01","All","E01027800",1225
"2021-07-01","All","E01027801",910
"2021-07-01","All","E01027802",583
"2021-07-01","All","E01027803",34
"2021-07-01","All","E01027875",1899
"2021-07-01","All","E01027876",1535
"2021-07-01","All","E01027877",1822
"2021-07-01","All","E01027878",1318
"2021-07-01","All","E01027879",1391
"2021-07-01","All","E01027880",1498
"2021-07-01","All","E01027881",1960
"2021-07-01","All","E01027882",1840
"2021-07-01","All","E01027883",732
"2021-07-01","All","E01027884",1179
"2021-07-01","All","E01027885",1137
"2021-07-01","All","E01027886",1458
"2021-07-01","All","E01027887",1540
"2021-07-01","All","E01027888",1891
"2021-07-01","All","E01027890",728
"2021-07-01","All","E01027891",564
"2021-07-01","All","E01027892",246
"2021-07-01","All","E01027893",2031
"2021-07-01","All","E01027894",2647
"2021-07-01","All","E01027895",1528
"2021-07-01","All","E01027896",1848
"2021-07-01","All","E01027897",2227
"2021-07-01","All","E01027898",2832
"2021-07-01","All","E01027899",1068
"2021-07-01","All","E01027900",1938
"2021-07-01","All","E01027901",1767
"2021-07-01","All","E01027902",1469
"2021-07-01","All","E01027903",1467
"2021-07-01","All","E01027904",2448
"2021-07-01","All","E01027905",2611
"2021-07-01","All","E01027906",1691
"2021-07-01","All","E01027907",1560
"2021-07-01","All","E01027908",1755
"2021-07-01","All","E01027909",2311
"2021-07-01","All","E01027910",4379
