LSOA_code_2011,Index_of_Multiple_Deprivation_IMD_Rank,Index_of_Multiple_Deprivation_IMD_Decile,Income_Rank,Employment_Rank,Education_Skills_and_Training_Rank,Health_Deprivation_and_Disability_Rank,Crime_Rank,Barriers_to_Housing_and_Services_Rank,Living_Environment_Rank,Income_Deprivation_Affecting_Children_Index_Rank,Income_Deprivation_Affecting_Older_People_Rank,Children_and_Young_People_Subdomain_Rank,Adult_Skills_Subdomain_Rank,Geographical_Barriers_Subdomain_Rank,Wider_Barriers_Subdomain_Rank,Indoors_Subdomain_Rank,Outdoors_Subdomain_Rank,Total_population_mid_2015,Dependent_Children_aged_0_15_mid_2015,Population_aged_16_59_mid_2015,Older_population_aged_60_and_over_mid_2015,Working_age_population_18_59_64
E01027618,30707,10,29824,29159,31497,32207,31094,12172,17552,30865,29430,32234,29417,3823,31950,12418,23739,2413,344,1127,942,1159
E01013432,30696,10,31459,30947,23041,30755,31897,11091,23890,30336,30340,21207,23314,4342,25915,21581,19787,2109,436,1187,486,1173
E01027638,30684,10,25507,28117,24569,26806,29293,30404,22209,23625,26857,26096,21454,22612,23745,17565,24086,1381,214,718,449,720
E01027730,30679,10,28664,27987,32205,30710,27772,24865,12015,30616,28162,32100,31224,19115,17142,11525,9969,1517,261,878,378,868
E01027709,30668,10,29968,29240,23861,24802,20414,24268,28512,29210,30439,26475,19957,10755,28949,24580,27237,1157,173,553,431,571
E01013061,30662,10,25753,27010,23920,24806,32673,23900,31455,31103,19847,26849,19788,13618,22330,29247,28911,1594,244,832,518,856
E01013059,30594,10,30344,29905,26647,28919,32434,10247,25493,32589,25455,26568,24847,3460,29477,22481,22338,1643,274,855,514,863
E01027786,30537,10,27555,29359,26656,25753,31755,17798,22973,18186,31957,29576,22331,6174,31540,18732,23365,1629,193,741,695,760
E01027893,30536,10,28914,28023,20330,31018,31916,15483,29528,25800,29394,15302,25251,4936,32751,27708,24439,1964,360,1007,597,1044
E01027855,30526,10,30634,23634,28919,21009,26841,23401,32106,27095,32328,27686,28190,9257,31408,29746,31301,1509,190,680,639,717
E01027614,30510,10,26309,21604,24299,27428,32632,31928,30140,26875,26939,26729,20520,21178,32061,29971,22749,1238,153,548,537,571
E01013339,30488,10,29721,25854,25813,23029,31448,27582,20356,30436,28019,27410,22524,14086,28746,16517,20909,1607,319,852,436,862
E01013057,30479,10,31406,27855,24739,28212,31067,15690,20863,32016,30925,21649,26222,5650,29347,16449,22687,1529,259,792,478,825
E01013408,30450,10,29933,20699,24185,25579,32836,28188,29643,29853,31544,29880,18176,16403,26122,29472,21960,1331,142,569,620,581
E01027912,30439,10,28825,26475,17505,27550,31926,29833,24791,27796,29590,15457,18806,16037,31302,19760,26482,1153,161,592,400,611
E01013389,30233,10,29760,25576,24515,20324,32582,24634,25590,30561,31183,25380,21975,11428,28055,23963,19887,1101,165,555,381,555
E01027663,30155,10,28621,25627,21401,27061,30465,21036,27234,29603,28655,23779,17993,10203,24371,22861,26720,1386,211,759,416,785
E01033066,30053,10,32503,32227,19422,28865,32842,17786,12480,31743,29407,11797,29900,6396,30470,6714,31460,2188,425,1591,172,1576
E01027917,30031,10,26091,25789,22867,26066,30330,21113,30281,27789,21062,21259,22932,7614,32505,27275,27987,1996,413,1290,293,1282
E01013388,29969,10,29785,29612,24826,24220,32041,13267,22638,29170,30322,24271,23562,4938,27619,19348,21033,1076,100,468,508,483
E01013435,29951,10,26706,29158,20680,24229,28767,27978,20976,29007,20205,20835,19160,16027,26155,17964,19357,1425,246,802,377,817
E01027660,29915,10,25360,23312,28610,24828,29337,24920,26823,32158,22336,29490,25847,13921,23602,23093,24903,1552,254,735,563,747
E01027731,29894,10,27457,27180,32034,26022,30138,29999,9577,30216,25749,32066,30841,28399,18038,6734,16635,1457,329,822,306,822
E01027898,29832,10,23981,26737,24802,29147,25661,31785,18469,23233,22490,22270,25643,20104,32814,14118,21323,2700,538,1566,596,1612
E01013337,29823,10,25588,25964,22985,25815,26138,31356,22373,20308,29092,20797,23654,23588,26180,19436,20112,1662,283,971,408,986
E01013417,29805,10,27254,25224,31547,30180,26057,25896,12444,30814,23982,31072,30619,23991,14734,8634,19247,2047,349,1295,403,1285
E01013405,29774,10,31410,27948,16944,18751,32178,31918,22029,32670,28616,20069,13551,24408,27802,19355,19388,1401,196,781,424,801
E01027595,29766,10,28490,23776,22663,29135,30214,26359,18408,28161,32085,17011,28093,13585,26953,12332,27549,1819,292,929,598,939
E01013381,29684,10,27600,29767,22034,26415,25196,29478,14400,23436,26017,19685,23035,22340,21739,10307,19690,1593,241,1018,334,1038
E01027654,29675,10,32444,32652,32329,31748,31955,2583,27719,31608,32791,31892,31760,1227,22631,25894,22140,1273,221,668,384,672
E01027674,29653,10,30738,31352,31687,25464,31985,4442,30062,31272,29044,30789,31253,1462,29302,30437,21785,1374,234,686,454,694
E01027655,29629,10,29533,32445,32095,29035,23308,9445,16275,32715,22906,31966,31071,6557,14971,10897,24649,1424,205,730,489,687
E01013411,29621,10,26714,26797,21812,21675,29532,30485,21820,31803,24035,27915,15931,20273,26762,17917,21943,1531,203,713,615,728
E01013425,29606,10,25693,27133,25927,25120,29348,24347,18288,27557,24472,22865,27231,10228,30563,13866,21524,1578,304,803,471,813
E01013372,29549,9,25486,25242,27387,21680,32774,27636,19537,28852,24174,27576,25327,15356,26514,14193,25132,1515,216,638,661,687
E01013365,29526,9,27857,26984,27417,27727,30391,12546,21905,29270,25292,24083,29071,6803,19231,18467,20886,2933,464,1565,904,1572
E01027767,29522,9,25442,21788,22953,25603,32328,28675,27400,25254,26632,20049,24464,16931,26505,22438,28328,1470,288,702,480,707
E01027900,29515,9,28014,28820,27058,31461,31407,10842,17289,28329,23350,23441,29015,3282,32664,11222,27611,1976,399,1130,447,1160
E01013426,29367,9,28711,27154,30309,23083,32415,20342,12308,27741,29422,29782,29051,7673,30513,14635,6506,1630,269,706,655,720
E01013357,29361,9,28866,30622,31511,30064,31617,4558,25642,22305,32158,29988,31648,1501,29281,24456,19218,2246,432,1158,656,1151
E01013414,29335,9,27972,28705,31639,29567,27968,30990,5475,28599,22003,31031,30898,28750,20269,3503,19276,1626,278,1034,314,1071
E01027679,29231,9,28050,26462,31608,27569,11385,27626,19992,32756,26624,31537,30293,25367,16050,19000,15009,1636,239,861,536,885
E01013430,29202,9,22877,27848,19438,23172,29040,32462,25055,20618,22590,15247,23252,30488,25636,21333,23504,1643,279,918,446,931
E01013397,29103,9,26734,29685,23794,25613,28764,28590,10359,28892,18177,19841,26467,21892,20310,8923,11535,1513,266,902,345,924
E01027885,29049,9,24025,23714,19105,25715,27460,31787,29354,22579,23118,16345,21025,20533,32140,27167,24865,1601,266,884,451,892
E01027879,29048,9,26593,24461,18708,19198,31972,32466,28175,20908,28733,19712,16772,25875,30239,27816,20268,1235,186,729,320,722
E01013422,28981,9,30411,29937,29478,24529,28785,12867,12179,29453,31701,27031,30030,4667,28180,17260,4467,1715,371,908,436,898
E01027588,28917,9,25829,28582,19253,22539,28302,26327,20810,26643,22564,17612,19804,13537,26974,13908,31320,1578,241,908,429,904
E01013370,28813,9,27041,26339,22952,19813,31229,25503,18756,30598,24198,29412,16652,14767,23259,14297,21870,1577,232,723,622,733
E01027725,28810,9,23371,28710,26168,27057,26359,31115,10981,24326,24526,22044,28829,22515,26388,8783,13590,1538,288,795,455,805
E01027887,28790,9,26935,22666,28163,24447,31866,24166,15247,28275,25528,27292,27046,10227,30175,8981,29980,1488,262,801,425,824
E01013429,28773,9,24219,29912,20069,24489,27054,17939,26005,21635,17680,14876,25350,7914,25160,22636,23501,1964,421,1279,264,1269
E01027845,28737,9,25907,22502,26702,17464,30206,32002,23459,26760,25990,26359,25161,22902,30075,16791,30839,1658,276,819,563,851
E01027922,28590,9,32255,31596,25144,30817,27803,6898,13414,30518,32554,26874,21824,2044,32238,11093,14137,1758,301,924,533,929
E01027882,28582,9,28586,25938,23854,27346,29236,12854,19327,24614,27414,24267,21768,4100,31723,14224,24233,1850,322,1096,432,1099
E01013362,28550,9,22821,29184,27501,24148,27617,24905,13153,20201,17996,25271,27855,24141,13589,10158,16019,2027,270,1312,445,1305
E01013395,28524,9,28659,28209,28295,28121,28229,29471,4982,32052,20226,25204,29567,18156,26709,3850,13718,1495,238,930,327,936
E01027791,28514,9,26460,27799,19657,24508,31291,13635,26104,30005,23222,26866,13483,4323,32208,20663,28496,1533,259,805,469,829
E01027747,28452,9,29262,31240,9657,31039,31794,15232,25959,21956,25656,4819,19091,10096,16182,20748,27784,2016,283,1440,293,1470
E01013344,28393,9,30038,27656,31489,28545,18174,28207,6076,32093,29259,30145,31434,19028,22574,3984,18379,1616,247,1074,295,1038
E01027619,28384,9,29817,31322,23956,29310,32746,5738,17734,28605,26915,18857,28228,1893,29420,13352,21183,2669,545,1572,552,1573
