LSOA_code_2011,Index_of_Multiple_Deprivation_IMD_Rank,Index_of_Multiple_Deprivation_IMD_Decile,Income_Rank,Employment_Rank,Education_Skills_and_Training_Rank,Health_Deprivation_and_Disability_Rank,Crime_Rank,Barriers_to_Housing_and_Services_Rank,Living_Environment_Rank,Income_Deprivation_Affecting_Children_Index_Rank,Income_Deprivation_Affecting_Older_People_Rank,Children_and_Young_People_Subdomain_Rank,Adult_Skills_Subdomain_Rank,Geographical_Barriers_Subdomain_Rank,Wider_Barriers_Subdomain_Rank,Indoors_Subdomain_Rank,Outdoors_Subdomain_Rank,Total_population_mid_2015,Dependent_Children_aged_0_15_mid_2015,Population_aged_16_59_mid_2015,Older_population_aged_60_and_over_mid_2015,Working_age_population_18_59_64
E01013058,24185,8,22937,21944,21976,20464,29708,12436,16388,27670,17400,18948,23799,7226,17987,11221,23701,1499,252,786,461,779
E01027848,24115,8,21328,22467,23252,14531,30680,12756,25602,22421,23386,21157,23749,6585,20196,19256,30816,1043,155,565,323,563
E01027695,23792,8,27058,28946,24294,29445,30035,4205,6723,24401,27002,19289,28412,1474,27954,3972,22283,1792,320,968,504,973
E01027682,23791,8,30412,28194,26063,29333,31474,5057,3799,30058,32345,23668,26594,1959,25795,2100,25274,1649,289,827,533,853
E01027702,23783,8,17153,18696,15738,22084,31989,30769,22678,13655,19927,12714,18606,32220,17449,17003,27345,1135,167,550,418,568
E01027771,23777,8,32724,32757,3876,21846,32259,8170,32229,32238,11672,842,14999,4632,18202,30132,31325,3697,749,2828,120,2854
E01013391,23701,8,21649,26253,16641,20585,21798,26355,9572,18115,15864,8794,29607,13699,26714,6127,19922,2272,373,1622,277,1655
E01027677,23681,8,25340,20322,30128,22073,11334,17461,13391,30729,28971,28566,29818,16804,11520,9365,19676,1512,167,974,371,989
E01027644,23595,8,21794,23438,21520,23641,18653,15073,13736,26222,17195,19323,22399,8662,18588,10992,15231,1505,274,754,477,772
E01027895,23516,8,21510,20099,20459,23170,23764,9112,28397,17916,26465,19165,20432,2809,31788,24570,26814,1511,189,737,585,768
E01027856,23455,8,19832,16581,26949,10388,32145,25394,30254,26092,21999,27963,24140,13580,25071,25852,31027,1143,116,382,645,396
E01027656,23448,8,22830,16479,30320,21761,24916,17397,11898,26496,27918,30372,28508,13896,13879,8185,19095,1727,174,917,636,952
E01027653,23424,8,20888,14515,27963,18992,27264,14615,29477,28389,24591,26257,27716,9734,16017,27371,24855,1589,265,758,566,757
E01027924,23417,8,27389,21516,23060,29830,28186,3567,15174,30935,23193,23315,21232,1031,32328,10637,21316,2262,442,1304,516,1326
E01027605,23406,8,18461,18486,20663,15636,28613,32650,19419,18949,16867,15422,25816,29949,28402,14066,25094,1642,260,992,390,1005
E01027808,23283,8,22009,15501,17097,13938,32503,30959,26534,21121,25939,16466,16843,22608,25676,20754,29760,1552,207,709,636,743
E01027815,23272,8,25103,25335,13671,17977,31101,26078,6834,21398,28109,7799,22836,14398,24893,3341,31372,1390,223,686,481,725
E01027664,23254,8,30460,26153,14954,23243,32093,3890,14952,30291,27207,8052,26257,1498,25992,11179,18610,2697,426,1641,630,1053
E01027761,23223,8,26731,25517,26034,27660,27608,5429,6245,26399,25452,25721,24412,2169,25056,4889,13148,1137,146,499,492,525
E01013127,23131,8,30638,32281,26810,29430,31012,1531,5777,31255,26865,25683,26024,619,25700,3047,27153,1562,294,821,447,853
E01027748,23082,8,21912,15827,10757,18770,31096,31164,30877,21778,22115,8111,14135,32492,18410,31523,22821,1159,195,551,413,574
E01013401,23069,8,22509,28979,7496,22003,20935,25839,15786,11576,17296,2890,18779,32603,10738,12351,17693,1829,245,1377,207,1361
E01027668,23042,8,17871,21470,16651,15950,31765,24636,19897,16598,24255,15945,16523,18548,17372,14517,25237,1517,297,787,433,803
E01027713,22685,7,20773,17828,27580,24641,13339,27727,10089,23643,23033,29279,24175,23311,17634,5623,26414,1710,284,896,530,897
E01013396,22654,7,20042,18802,18651,19965,15496,28735,19152,24266,21189,13277,24688,28464,15842,16523,17568,1620,260,837,523,837
E01027658,22646,7,21034,21814,19972,23549,24994,23937,6156,18577,24661,15750,23755,18373,16636,4132,17593,1605,308,1030,267,1040
E01027646,22642,7,29136,30888,28193,28874,32649,1393,5795,31639,28575,27500,26893,494,27624,3226,24667,1624,268,812,544,843
E01027890,22620,7,25079,25011,13221,26442,26380,5776,17100,16595,28751,11262,14990,1744,31642,11301,26375,2082,322,1170,590,1187
E01027921,22611,7,15595,18988,19344,18747,29807,28084,18565,28346,9644,18035,19515,16530,25657,12668,26826,1707,220,879,608,869
E01027696,22610,7,31975,31634,27454,30601,32776,962,5359,32345,28533,23837,29426,517,21876,2698,29499,2439,574,1455,410,1142
E01027888,22607,7,28203,26714,24306,26020,28555,1457,14360,28597,26278,21002,26129,391,32117,8758,26844,1870,392,1057,421,1062
E01027707,22585,7,22572,21401,17656,22422,19481,14883,14327,23415,21037,17994,16409,7834,20200,9286,23805,1787,333,960,494,961
E01027727,22494,7,21403,20219,19263,16967,23723,24171,12043,25200,18868,16410,21261,16825,18478,7532,23134,1662,264,927,471,941
E01027799,22469,7,28312,28271,26652,28733,32693,2115,5571,29789,27399,24213,27268,599,31917,3019,26020,1732,247,843,642,866
E01027611,22447,7,18764,16607,16408,21268,26538,17177,29934,18012,22197,12515,20490,6677,27983,25037,31585,1948,233,846,869,906
E01027816,22297,7,18052,17248,15096,16203,32749,22856,28760,17550,22858,11520,18840,10533,26729,24470,28387,1565,241,712,612,737
E01027592,22288,7,30014,25223,25746,30318,31320,1251,9411,30738,31045,24901,24672,344,30982,6316,18129,1708,199,826,683,884
E01027643,22251,7,21734,26373,25912,27474,28529,3124,10659,22143,22960,25427,24474,1681,20191,6193,24916,1426,238,685,503,696
E01027680,22168,7,19670,22661,28403,18456,21900,22482,5617,20077,21696,24524,30614,29514,9263,3431,20950,1334,191,861,282,878
E01013126,22148,7,31874,30569,19550,24976,28874,863,13532,31494,31509,26139,13714,526,20472,7979,27464,1541,277,863,401,874
E01027587,21937,7,15547,14986,14985,19657,29371,30392,31697,16267,15649,10990,19479,18993,28214,29411,29844,1367,218,635,514,651
E01027650,21927,7,22607,18455,19864,16873,13529,24272,17511,22825,26400,17339,21347,16520,18960,12737,22456,1607,304,887,416,884
E01027867,21816,7,23384,19380,21067,17312,31657,5168,23583,26706,22359,17228,24037,2127,24452,19049,24397,1438,181,713,544,713
E01013412,21807,7,23153,27337,25586,22080,19048,29579,1355,17124,20062,20402,29736,24519,20016,1133,13493,1789,270,1286,233,1299
E01013406,21794,7,21027,20146,13803,16211,25623,15414,23822,22284,18309,10821,16957,9268,17843,20664,21361,2147,369,1421,357,1415
E01027600,21665,7,27781,28622,25544,29620,32056,1977,4384,28454,23692,21938,27577,620,30057,3131,16134,1923,327,1066,530,1080
E01013346,21662,7,20238,19361,22746,20078,26241,25385,5596,29558,17129,15758,30529,19656,17348,4183,14445,1787,242,1004,541,1029
E01027863,21536,7,18266,20408,19093,15363,18242,14259,29827,22085,16864,14781,23186,5855,25452,26267,28307,1432,163,603,666,643
E01027601,21502,7,25230,25221,24773,30674,32624,8992,1478,27569,23961,23367,24393,3231,27733,790,25249,1989,373,1048,568,1070
E01027666,21453,7,26052,30404,27070,28326,32612,3258,2376,29394,24400,28336,24028,1177,27581,1394,22530,1720,310,838,572,849
E01027781,21452,7,14860,16052,15758,18732,32269,32694,20670,16331,16386,23742,9950,28563,30439,15284,25541,1257,173,536,548,568
E01027626,21410,7,23390,18964,26361,28335,21407,2505,21118,18139,27451,22737,28371,734,31804,17711,20317,1347,172,630,545,660
E01027772,21326,7,21092,25067,20205,22636,32782,1266,30934,24143,14088,20367,18755,830,19053,28160,28876,1315,170,807,338,822
E01027814,21294,7,20828,21097,18695,16319,32059,16047,8554,18522,25691,14084,23393,7020,24539,4353,29952,1564,250,720,594,747
E01027724,21264,7,31962,32405,32086,31448,30640,920,2255,31987,31416,32293,30738,266,29288,2300,9027,1579,271,787,521,799
E01013373,21186,7,18741,11486,25402,12746,28986,29977,24844,23781,20019,26082,22933,17874,28582,21507,22502,1570,305,753,512,768
E01027593,21166,7,26908,28214,22993,28860,32561,8109,1032,27644,27916,23078,21333,2570,30805,1162,8989,1732,211,881,640,902
E01027633,21161,7,31223,30591,28614,30799,32674,679,3881,29929,32357,28307,26939,152,31049,2011,28263,1792,276,904,612,922
E01027647,21138,7,28849,27749,27095,30173,31409,1437,4034,31474,29786,25956,26290,617,24811,3337,12340,1623,250,809,564,849
E01027738,21065,7,19098,18685,14839,20856,22718,31894,8919,19833,21920,11147,18879,30671,22013,5274,22727,1353,249,840,264,842
E01013393,21051,7,21536,25531,13867,13501,28166,30636,5273,23068,17378,7667,23939,28956,19095,3334,19678,1539,287,1027,225,1033
E01027743,21043,7,23085,18539,24680,26354,26081,4661,11152,20936,28883,23106,24448,1741,26487,10542,9858,1263,192,587,484,611
E01027858,21002,7,25539,18729,19848,10642,30827,6037,28350,29016,25756,17794,20770,2073,28472,23498,29101,1343,175,645,523,664
E01027788,20979,7,19143,17271,10159,19756,30511,18233,25226,25482,17239,20773,4877,6468,31141,19635,28273,1595,239,798,558,833
E01027667,20977,7,29288,23985,26813,27102,22134,2287,6082,26357,31271,27422,24377,977,24489,3241,26791,1384,261,701,422,721
E01027661,20946,7,18058,18892,15819,22257,17760,13824,23217,12329,25239,10204,23327,7390,19707,20988,19217,1412,234,770,408,776
E01027742,20837,7,26705,28489,21646,31035,32558,3524,2229,24746,28191,20162,21746,1836,20515,1150,27264,1322,166,653,503,688
E01027762,20834,7,28846,24567,24910,30020,31716,820,8333,30095,25371,24236,23730,270,27558,5245,19991,1357,183,758,416,790
E01027604,20808,7,27927,28355,26018,29243,30773,1225,4633,23314,31858,24085,26040,321,31494,3371,15437,1810,293,906,611,952
E01013345,20726,7,23240,28147,15410,15948,18723,24946,3645,19384,18223,9545,23631,16429,20073,2396,18658,1801,183,1272,346,1272
E01027860,20635,7,20270,18981,11486,16067,29487,16559,19412,28860,13612,7579,17149,7671,23431,14306,24253,1613,339,809,465,814
E01013419,20541,7,17633,16573,13359,20848,26302,18258,20438,11845,25324,7625,22392,9357,21860,17472,18924,1853,284,951,618,991
E01027766,20525,7,13934,15347,22048,16973,31091,24028,18059,15698,13556,22649,20038,21744,14139,12317,26257,1227,145,583,499,606
E01033068,20442,7,22666,26953,18631,22729,12354,17222,3853,9473,19225,10436,31182,23297,8104,3826,8864,1154,71,855,228,877
E01027739,20401,7,23274,20090,20056,18591,21620,32248,2557,28090,17380,16978,22209,32711,22329,4699,2825,1090,233,666,191,676
E01013336,20400,7,15598,21993,15926,22551,12940,26776,12530,15998,11924,13974,17334,18169,20906,9484,16295,1480,255,788,437,820
E01033070,20366,7,25391,29167,14737,12944,9530,20766,8270,14704,10217,6940,29516,31064,7770,5086,20900,2369,92,2089,188,2178
E01027657,20312,7,20046,23843,20918,19775,26477,26949,1878,18666,15049,15018,27163,28193,13605,1203,19347,1306,226,947,133,928
E01027673,20270,7,19174,18233,24002,20224,20227,26960,4494,23149,19821,19805,26968,28123,13651,2532,24452,1860,272,1016,572,1057
E01027760,20259,7,24216,26787,12263,27202,26502,4482,7777,26221,22742,12074,12127,2532,18690,4555,22708,1251,142,652,457,681
E01027627,20246,7,28456,30044,27074,30476,31737,443,5089,29775,27546,25510,26697,62,31218,2590,29007,1838,267,919,652,949
E01013363,20226,7,21720,22622,15587,11515,26169,14435,12187,22202,9601,8121,28266,16847,9109,10446,12558,2646,292,2043,311,2070
E01027877,20120,7,22961,20266,9169,18662,29398,7468,24113,22887,23770,6984,12052,2896,25719,17842,29725,1279,208,726,345,737
E01013418,20119,7,18160,16535,29494,12880,23521,29351,6972,21719,15583,27100,29986,26313,18197,4654,17708,1608,221,1086,301,1099
E01027756,20022,7,20984,20759,19739,27018,31607,3061,11201,18792,27106,15677,23309,1188,26023,6943,22597,1868,377,1089,402,1115
E01027684,19928,7,24318,24196,23843,27889,31733,1259,7749,24036,28473,21676,24350,687,21455,5035,18705,1451,251,792,408,798
E01027681,19858,7,22547,30011,16510,28249,31447,3273,3884,22185,22794,12561,20635,1219,26951,2167,24932,1538,239,826,473,855
E01027622,19750,7,30208,28475,22660,31483,32136,1177,2434,30592,30499,20721,23087,335,30215,1221,28589,2003,352,989,662,1007
E01027728,19710,7,19870,17459,10751,19245,20042,18239,18806,19034,21171,7908,14470,10678,19184,14454,21584,1354,194,683,477,707
E01027821,19680,6,26572,24213,18748,20558,32099,4192,4217,31373,25560,12707,26023,1596,26186,2079,30719,1402,144,611,647,646
E01027834,19639,6,16229,17208,11232,12180,27769,24871,29475,16775,16424,7471,16662,12966,25225,24422,31207,1513,186,658,669,686
E01027703,19624,6,26865,31532,24179,28945,25209,1131,3342,23774,25078,21226,25590,659,20656,3403,8420,1889,259,1001,629,1018
E01027616,19548,6,14306,12009,13592,18973,27610,31545,28815,18239,15301,9095,19449,26032,24420,26301,24759,1436,246,761,429,766
E01027689,19498,6,14606,16619,12297,19734,21101,28063,19703,15373,15818,8020,18256,24038,17608,17319,17317,1405,271,858,276,878
E01013398,19465,6,17010,22481,10229,11292,24132,18429,25040,10308,15812,11300,9272,19182,10819,24661,17544,1788,254,1288,246,1280
E01027705,19273,6,18224,13877,16009,17865,25556,18024,16351,21830,19570,16813,14542,13182,15339,10386,27406,1738,376,984,378,998
E01027741,19265,6,17258,14544,10277,14898,27867,23763,28347,13606,22854,7472,14076,15761,19121,24747,26236,1419,244,712,463,727
E01027911,19165,6,17522,12487,16306,17898,24492,28193,14321,17443,20250,13485,18778,15566,27519,8402,28873,1439,216,673,550,681
E01027809,19117,6,18815,17133,15730,14351,32333,6364,26300,17570,22154,14996,15773,2497,25378,20873,28576,1251,120,525,606,569
E01027692,19073,6,18480,16713,16694,16533,23503,27002,6967,23530,11099,13057,20241,31578,12173,4747,17047,1238,240,775,223,768
E01033183,19032,6,27259,19951,2793,23699,31451,7819,31808,26441,27396,284,15606,4827,16793,29850,29428,1568,690,857,21,878
E01027784,18975,6,12727,15017,16043,17411,30939,28881,14979,12524,12930,14391,17050,15441,29567,8978,28682,1688,301,867,520,865
E01027774,18970,6,26896,31056,19116,28255,25881,1617,2697,25601,26580,17523,19638,446,31805,1528,23712,2063,375,1060,628,1078
E01027648,18826,6,15796,14337,17442,15799,20726,23851,17072,17064,17942,13590,21245,17675,17168,13231,19271,1469,308,823,338,813
E01027659,18816,6,17145,14758,26075,19736,22789,27455,3948,26266,8992,25296,24910,25542,15728,2581,18938,1946,258,1441,247,1441
E01027775,18784,6,28832,27950,12520,23357,31452,5663,1632,31199,24241,5842,25565,1745,31108,844,26456,2117,440,1090,587,954
E01027726,18731,6,17601,14922,15853,16985,22379,25038,10382,17704,21373,10640,22486,17776,18679,5671,27829,1822,333,1038,451,1039
E01013442,18713,6,19612,19325,12568,18781,5395,30405,17077,18854,20356,9897,15480,24955,21514,15022,14985,1446,299,766,381,780
E01027797,18689,6,23270,28171,22904,27026,32720,969,4204,20253,24498,19357,25252,220,32160,2445,23176,1740,252,931,557,955
E01013449,18615,6,17960,17521,9892,21572,15777,10998,28194,13763,22926,5747,16930,5846,19447,26580,22284,1640,288,956,396,971
E01027758,18604,6,30851,32221,27286,30900,32655,457,1244,30505,30520,28100,24673,229,23367,1303,9593,1510,299,714,497,742
E01027902,18577,6,19676,16430,24104,20016,32729,2772,14154,21351,18088,22913,23563,909,29439,7969,30986,1441,251,726,464,751
E01013364,18559,6,20379,21982,26085,5612,22614,21665,6871,20328,7490,23568,26768,28278,9155,5285,13576,2204,187,1769,248,1783
E01027915,18330,6,17770,13601,8188,16866,19309,28170,27700,19267,19040,6939,9721,14539,29383,22788,28533,1576,280,867,429,877
E01027736,18329,6,26122,27254,23013,26781,31431,1043,2747,26149,26899,22325,22091,348,27816,2350,11889,1651,325,859,467,857
E01027780,18127,6,26578,29395,16832,28567,30808,994,3067,24057,28226,15099,17781,234,31922,1780,22845,1859,250,969,640,1021
E01027744,18100,6,27529,25749,21892,26873,32513,409,4835,23549,29337,20479,21903,200,23621,3153,18695,1294,160,619,515,651
E01027735,18021,6,31801,28915,28571,29747,23206,741,1174,31809,32284,25867,29378,357,23561,1217,9770,1524,244,767,513,772
E01027883,17993,6,16291,13840,16101,20014,20600,9619,22668,11347,22220,13084,18881,3017,31291,17740,25088,1107,172,605,330,622
E01027669,17891,6,14031,15864,14970,12592,23674,25912,15676,15856,11847,11156,19155,30247,11658,10934,21986,1876,250,933,693,937
E01013056,17885,6,17345,16764,12308,12835,25916,20564,12170,19969,13786,12526,11790,23519,10210,8311,19597,1727,308,946,473,951
E01027637,17871,6,28976,30092,25733,30465,31743,364,1635,28567,30835,23671,25925,50,30245,1319,13873,1813,240,921,652,962
E01013441,17631,6,22651,21166,10510,19894,12005,30197,2906,22867,20925,5066,21294,27700,18931,2323,13358,1631,269,997,365,1003
E01027873,17630,6,18129,16260,16290,12876,29221,4290,28220,16350,20147,10746,23447,2613,17594,22250,31865,1485,211,728,546,734
E01027763,17602,6,28558,30364,18744,27351,32791,622,2030,20899,31402,16431,20175,225,26665,958,30655,1116,102,523,491,547
E01027613,17566,6,28898,29959,26019,31712,29821,750,771,28767,29411,22263,28166,185,30364,448,21212,1796,272,937,587,970
E01013369,17523,6,17100,17212,15280,14249,11756,24404,11525,10631,16297,7491,29328,27160,11599,9916,12099,1986,187,1382,417,1412
E01027720,17506,6,13857,15974,8017,22224,16842,23398,21946,15642,12891,3614,17359,17889,16396,16844,25277,1426,314,796,316,820
E01013383,17329,6,15831,20812,7779,11559,24108,24141,13952,11832,11721,3493,16894,29562,10424,10351,17941,2617,403,1857,357,1867
E01027849,17301,6,20218,11918,20564,7709,10757,27402,25196,29087,20903,21269,18590,14863,26883,20443,26010,1149,128,540,481,545
E01027686,17288,6,26553,24463,24941,27355,32405,3141,401,24745,32371,25999,22155,1366,23912,234,20803,1156,207,605,344,629
E01013119,17256,6,29633,30328,25455,27969,30181,206,1707,29030,28579,23042,26079,206,20071,1205,16819,1488,230,827,431,837
E01027764,17197,6,21498,25869,22386,25382,31867,3146,1083,17902,22716,20303,23000,1720,19926,588,23971,1197,139,590,468,618
E01027628,17166,6,25501,26459,19453,31080,32351,694,2270,30373,24106,16343,21730,163,30739,1686,15448,1897,366,944,587,987
E01027701,17134,6,28097,29587,20872,29322,32324,587,1326,29904,29041,20115,20250,319,22675,782,21988,1596,253,810,533,842
E01027769,17125,6,12185,13818,14255,23553,25936,7083,29716,8579,21154,10916,17933,5058,14649,28166,24255,1301,243,684,374,707
E01027734,17073,6,30820,32629,30627,30938,28620,616,209,29503,29371,30139,29421,167,29199,374,9287,1596,288,814,494,839
E01013384,17068,6,15805,21374,4652,14866,22693,19039,22103,13899,6979,2486,8659,21028,10297,21640,15652,1821,271,1295,255,1290
E01027878,17024,6,15178,12403,11092,17246,22961,26042,15234,15264,21206,8926,13647,11633,30605,9803,25260,1281,247,803,231,802
E01027881,16931,6,12985,9775,12829,17845,26876,21381,29757,12482,14824,9757,16233,9944,25595,25895,28855,1232,188,566,478,573
E01027636,16851,6,28951,29463,19980,30998,30831,267,1718,26572,30459,15030,24904,12,30684,1013,21944,2066,294,1043,729,1060
E01027923,16822,6,22215,17310,19068,23686,18903,1338,13635,20644,23809,17292,19791,359,31629,9371,20399,2229,336,1224,669,1251
E01033069,16801,6,21906,18610,31103,13262,7558,16658,2989,26011,16896,29145,31589,11930,15316,3270,7569,1109,99,801,209,811
E01027770,16770,6,16837,12234,19923,18808,24240,20987,4593,17673,20110,17145,21740,23704,10454,2388,27950,1662,206,919,537,950
E01027752,16687,6,24458,25036,22905,28471,31351,202,3917,20758,25070,23538,20773,85,24740,2662,17707,1168,134,643,391,656
E01027790,16504,6,16017,13752,10398,21108,19615,31964,6006,13935,22814,11159,9667,24639,27734,3111,28158,1981,341,1210,430,1219
E01027610,16462,6,16079,14279,5789,16338,24846,24839,18168,18243,16973,2412,13357,14103,23151,12250,26976,1685,328,931,426,946
E01027884,16406,5,18144,15921,11003,19387,25594,3149,22854,15039,21290,6637,17908,951,31300,16897,28313,1596,279,943,374,935
E01027868,16318,5,13364,12387,21836,9372,24821,24137,12528,21604,13971,16361,27242,18826,16474,7714,24337,2214,180,930,1104,938
E01027889,16281,5,17595,12988,7420,17714,25720,8463,29017,18267,19947,4782,11556,2908,28702,25373,27316,1717,358,900,459,952
E01027793,16276,5,14124,12983,10012,17664,30650,17840,12988,20470,12906,10527,9544,6777,28957,9151,19038,1397,213,714,470,735
E01027778,16232,5,25130,25306,23443,28420,32754,388,1798,26498,24880,20156,25344,34,31779,898,27658,2293,306,1247,740,1281
E01027871,16229,5,15274,9586,13951,10459,28597,27186,20174,18819,17098,12694,14796,20983,18700,13448,30686,1554,247,678,629,709
E01027776,16055,5,23152,26848,21379,26124,31487,528,2002,26461,26523,21991,19423,82,31854,939,30598,1612,250,753,609,783
E01027649,16049,5,14685,15245,12666,13746,18995,15481,13558,13388,20255,7525,20453,13828,12055,7791,28889,1807,336,1074,397,1084
E01027802,15917,5,23679,26208,18021,28754,30415,1027,1288,17830,28220,13882,22149,247,31692,915,16995,1640,223,832,585,869
E01027773,15894,5,29413,26669,21869,28543,32459,115,1441,29143,30183,20504,21822,11,25235,919,19711,1151,147,605,399,625
E01027842,15815,5,13358,12643,10998,13666,17648,25279,19126,11256,19846,6989,17030,16643,20331,12900,28581,1578,263,731,584,745
E01027796,15813,5,16802,19105,10740,21522,31691,9692,2920,17423,20244,8407,13610,3024,31495,1693,22897,1752,284,868,600,902
E01027831,15695,5,21665,22006,17585,9428,29393,4799,3709,29395,19493,15440,19004,2173,22621,1848,29971,1068,136,536,396,544
E01027711,15601,5,15578,16707,5362,11190,16512,26300,22951,14791,13242,4738,6175,19197,19025,18689,23411,1275,295,738,242,733
E01027807,15544,5,16424,12179,18733,9164,24506,7541,21935,18399,17541,23597,14020,3076,24626,15539,29560,1453,211,720,522,737
E01027798,15462,5,15497,14306,11636,21869,31568,13993,3734,11924,18793,9031,14785,4644,31008,2278,21312,1919,316,1071,532,1098
E01027608,15438,5,14478,14348,4537,15040,22565,31254,18244,14851,15102,2045,9798,24124,25175,12305,27045,1815,380,1098,337,1102
E01027857,15253,5,23351,25777,26477,18946,30318,403,1978,24224,25162,25448,25592,158,25245,1052,25630,1370,227,631,512,672
E01027800,15125,5,21704,26549,22042,29151,32816,593,888,16993,29405,19669,23069,104,32099,447,25280,1682,241,852,589,889
E01027916,15087,5,12212,11817,6767,11303,23147,31991,29495,11491,11773,6542,7154,24540,28000,25337,29056,1527,268,897,362,907
E01027630,14982,5,13695,15497,8516,14687,18476,23215,9382,15432,10607,5008,14426,14152,20417,5430,23986,1776,249,1039,488,1025
E01027777,14942,5,25005,30563,24889,27075,32357,256,424,19185,29068,23659,24271,2,31106,218,22977,1338,161,674,503,717
E01027829,14938,5,17651,9287,8680,9704,23426,26368,20815,14891,23038,6664,11319,18708,19637,14070,30628,1401,111,450,840,486
E01027828,14921,5,13768,8466,9430,12523,30506,23496,24837,17282,16084,7776,11485,13855,21293,18154,31504,1859,253,731,875,805
E01027594,14875,5,12294,13769,5975,12894,29252,20349,22024,14345,11230,2873,12137,11326,20907,15485,30162,1639,304,820,515,852
E01013359,14692,5,14385,13038,8269,13571,15058,22095,16582,15441,15044,7210,9536,15477,17364,13633,16704,1572,319,928,325,925
E01027892,14629,5,12702,10015,7137,20870,17268,27663,18668,11948,17960,7409,6984,14877,27420,14181,21875,1816,318,1021,477,1058
E01027918,14618,5,15365,13031,5998,11651,29521,31197,9524,13557,19064,3522,10150,28017,21479,5286,25983,1439,249,863,327,857
E01027706,14602,5,12360,13238,8642,16047,13427,26749,14986,13412,12885,8057,9298,25952,14580,9050,28283,1976,343,1047,586,1051
E01027851,14546,5,15946,13294,14451,13576,16264,28845,3455,15022,16946,9172,21809,17746,25670,1981,23444,1453,277,854,322,857
E01027599,14485,5,9774,9037,8464,16074,24932,32216,28223,8913,10639,6500,11109,28558,25372,24332,26672,1670,303,883,484,892
E01027823,14419,5,11748,8858,12044,9514,32681,29958,19399,11526,17020,9180,15467,27406,18606,12638,30884,1430,185,668,577,686
E01013437,14367,5,18570,5175,18582,16923,28040,14283,12518,23422,27195,17996,18139,6276,23867,10872,12417,1283,186,677,420,687
E01027822,14349,5,19848,19614,15012,16579,32564,5830,986,21174,20890,8634,24695,3082,19559,405,31743,1412,208,734,470,761
E01027789,14195,5,11012,14719,7111,13402,25550,18392,16159,11022,10297,9081,5638,7478,27408,9950,28834,2955,671,1692,592,1704
E01027590,14138,5,14883,13204,16714,15732,11905,8737,10299,17340,18254,13042,20311,3247,26832,5595,27967,2066,340,1117,609,1155
E01013382,14115,5,12433,15358,7753,13094,9916,21754,20755,9841,15106,4283,13897,22727,11528,22831,11549,1715,289,1071,355,1072
E01013446,14044,5,14732,14661,4837,12795,18503,13208,26089,14158,19102,2220,10275,7094,19485,23784,21485,1717,377,1011,329,1006
E01027676,14008,5,13801,13370,4901,10217,28916,23150,18300,15832,14280,2341,10026,18620,15463,13621,22323,1850,439,1050,361,1034
E01027785,13918,5,12450,10667,9672,15415,21534,30907,8139,18271,13089,10604,8881,19225,29936,5144,19752,1648,258,970,420,1017
E01027729,13910,5,13441,14939,8052,11329,16508,26515,9264,13036,11355,3933,16165,21994,16895,6489,16605,1573,358,1032,183,1014
E01027835,13662,5,16099,16206,11509,15968,24902,3342,7659,14306,19557,10213,12841,1593,22162,3893,29516,1745,269,885,591,910
E01027678,13392,5,13476,12072,21476,11477,15232,20704,3522,16319,8150,17413,24731,28188,8561,2373,17806,1758,204,1326,228,1325
E01027826,13381,5,11979,11685,12319,12021,23413,26942,5378,18298,10111,8382,17565,23248,16529,2849,26963,1551,319,881,351,890
E01013404,13082,4,9956,8941,13219,11400,17387,16626,28839,9956,12260,16266,10368,10470,17382,28536,21071,1506,242,852,412,885
E01013390,13045,4,15623,17747,8060,8766,21459,21409,3250,14283,12433,2737,22488,15709,16328,2219,17193,1521,245,1114,162,1124
E01013353,13035,4,11418,11467,10842,7164,24477,22876,14889,14658,9225,7586,15309,15030,18847,11730,16721,1584,259,952,373,948
E01027803,12855,4,17766,18235,12738,25299,31528,635,3371,13657,24555,8002,19468,133,31360,1918,23590,1949,334,1110,505,1151
E01027818,12826,4,11342,10380,7900,9018,22063,27168,17867,14648,9657,5412,11567,21145,18524,11613,28520,1491,297,815,379,843
E01027841,12722,4,25043,20300,13755,16629,28465,1308,890,28517,25786,10064,18084,547,25236,435,26014,1346,161,646,539,682
E01027910,12451,4,9766,12015,4880,15174,15550,27163,18734,9575,9014,2552,9221,18173,21543,13393,24758,3586,940,2216,430,2215
E01027813,12424,4,14823,14769,24654,13699,32371,3346,1465,18436,18755,23217,24287,1527,22938,642,32297,1973,267,981,725,1011
E01027866,12337,4,12279,16111,4161,11670,23295,9290,17411,12545,10149,3757,4824,7183,13485,10894,29919,1546,278,820,448,853
E01027843,11852,4,9138,9258,13725,4796,29540,31301,14359,14080,8970,10223,17726,25464,24025,8178,30643,1359,251,688,420,698
E01027832,11688,4,18849,14568,9670,10751,29062,7286,1508,13940,22950,5811,16028,3975,18860,680,31543,1088,116,526,446,521
E01027723,11505,4,9358,8012,5941,10973,23118,26816,23090,11646,10397,1810,17914,28920,13131,18434,24503,1497,250,901,346,899
E01027710,11241,4,10667,10525,5474,7261,17244,19136,27484,11067,13396,3769,8018,14161,15440,23399,26363,1153,240,535,378,542
E01027905,10843,4,9366,10114,6508,14733,7568,27985,13262,8826,10567,5244,8235,18376,22851,7610,28696,2124,361,1328,435,1369
E01027795,10805,4,8478,8592,5811,13750,27875,26269,9008,9822,9155,3337,10048,13376,27185,4960,26007,1555,264,813,478,820
